Course_ID,Course_Name,Category,Level,Duration,Format,Description,Prerequisites,Manager_Pairing,Triggers,External_Resource_URL,External_Resource_Name
EP-101,System Navigation Fundamentals,Efficiency,Foundation,1 hr,eLearning,Master the core systems and tools for efficient call handling.,None,None,High AHT; New starter,https://www.callcentrehelper.com/employee-well-being-how-to-reduce-contact-centre-stress-161037.htm,Call Centre Helper: Efficiency Tips
EP-102,Keyboard Shortcuts and Speed Tips,Efficiency,Foundation,30 min,eLearning,Learn time-saving shortcuts to work faster without rushing.,EP-101,None,High AHT; High ACW,https://www.sqmgroup.com/resources/library/blog/contact-center-fcr-best-practices,SQM Group: Contact Centre Tips
EP-103,Effective Hold and Mute Management,Efficiency,Foundation,30 min,eLearning,Use hold time effectively while keeping customers informed.,None,None,High hold time,https://www.salesforce.com/service/contact-center/first-call-resolution/,Salesforce: Contact Centre Guide
EP-201,Smart Call Control Techniques,Efficiency,Intermediate,1.5 hr,Workshop,Guide conversations efficiently while maintaining quality and rapport.,EP-102; EP-103,MGR-202,High AHT,https://www.sqmgroup.com/resources/library/blog/contact-center-fcr-best-practices,SQM Group: FCR Best Practices
EP-202,Efficient Wrap-Up and ACW Mastery,Efficiency,Intermediate,1 hr,eLearning,Complete after-call work quickly and accurately.,EP-201,None,High ACW,https://www.callcentrehelper.com/employee-well-being-how-to-reduce-contact-centre-stress-161037.htm,Call Centre Helper: Efficiency
EP-203,Multitasking Without Mistakes,Efficiency,Intermediate,1 hr,Workshop,Balance speed and accuracy when handling complex calls.,EP-202,MGR-202,High AHT; Quality concerns,https://positivepsychology.com/resilience-in-the-workplace/,Positive Psychology: Workplace Resilience
EP-301,Workflow Optimisation Lab,Efficiency,Advanced,Half-day,Workshop,Analyse and improve your personal workflow for peak efficiency.,EP-203; AHT at target 2 months,None,Process improvement,https://www.sqmgroup.com/resources/library/blog/contact-center-fcr-best-practices,SQM Group: Contact Centre Excellence
EP-302,Process Improvement Champion,Efficiency,Advanced,Full day,Workshop,Lead efficiency initiatives and share best practices with the team.,EP-301; Manager nomination,MGR-303,Role model certification,https://www.indeed.com/career-advice/career-development/manager-coaching-skills,Indeed: Leadership Skills
RW-101,Managing Energy Through Your Shift,Resilience,Foundation,45 min,eLearning,Maintain focus and energy throughout your working day.,None,None,Performance dip; New starter,https://www.mind.org.uk/workplace/,Mind: Workplace Wellbeing
RW-102,Handling Difficult Customers,Resilience,Foundation,1 hr,eLearning,Stay calm and professional when customers are frustrated or angry.,RW-101,None,High complaint rate; Stress indicators,https://www.callcentrehelper.com/training-cheat-sheet-handling-difficult-customers-25175.htm,Call Centre Helper: Difficult Customers
RW-103,Post-Call Reset Techniques,Resilience,Foundation,30 min,eLearning,Recover quickly after challenging calls to maintain wellbeing.,RW-102,None,Stress indicators; Declining sentiment,https://www.mentalhealthatwork.org.uk/,Mental Health at Work
RW-201,Building Mental Resilience,Resilience,Intermediate,2 hr,Workshop,Develop long-term strategies for maintaining mental strength at work.,RW-103,MGR-203,Declining performance; Stress indicators,https://positivepsychology.com/resilience-in-the-workplace/,Positive Psychology: Resilience Guide
RW-202,Confidence After Setbacks,Resilience,Intermediate,1.5 hr,Coaching Circle,Rebuild confidence after difficult periods or performance dips.,RW-201; 1:1 with manager on triggers,MGR-203,Confidence erosion; Performance dip,https://www.futurelearn.com/courses/professional-resilience,FutureLearn: Professional Resilience
RW-203,Managing Call Anxiety,Resilience,Intermediate,2 hr,Workshop,Overcome anxiety related to taking calls and customer interactions.,RW-103,MGR-203,Anxiety indicators; Avoidance behaviours,https://www.mentalhealth.org.uk/explore-mental-health/publications/how-support-mental-health-work,Mental Health Foundation: Work Support
RW-301,Thriving Under Pressure,Resilience,Advanced,Half-day,Workshop,Excel in high-pressure situations while maintaining wellbeing.,RW-202; RW-203,MGR-204,High performer under pressure,https://www.ccl.org/leadership-solutions/leadership-topics/resilience-training/,CCL: Resilience Training
RW-302,Wellbeing Champion Certification,Resilience,Advanced,Full day,Workshop,Become a certified wellbeing champion to support colleagues.,RW-301,MGR-204,Peer support role,https://www.mind.org.uk/workplace/,Mind: Workplace Champion
PS-101,Understanding Customer Problems,Problem Solving,Foundation,45 min,eLearning,Develop skills to identify the real issues behind customer contacts.,None,None,Low FCR; High repeat calls,https://www.salesforce.com/service/contact-center/first-call-resolution/,Salesforce: First Call Resolution
PS-102,Questioning Techniques for Root Cause,Problem Solving,Foundation,1 hr,eLearning,Ask the right questions to get to the heart of customer issues.,PS-101,None,Low FCR; High transfer rate,https://www.sqmgroup.com/resources/library/blog/contact-center-fcr-best-practices,SQM Group: FCR Improvement
PS-201,First Call Resolution Strategies,Problem Solving,Intermediate,2 hr,Workshop,Master techniques to resolve customer issues on the first contact.,PS-102; CX-201,None,FCR below target,https://www.salesforce.com/service/contact-center/first-call-resolution/,Salesforce: FCR Guide
PS-202,When to Escalate: Decision Framework,Problem Solving,Intermediate,1 hr,eLearning,Know when to resolve independently vs when to seek support.,PS-201,None,High transfer rate; Low FCR,https://www.sqmgroup.com/resources/library/blog/contact-center-fcr-best-practices,SQM Group: Best Practices
PS-301,Complex Problem Ownership,Problem Solving,Advanced,Half-day,Workshop,Take ownership of complex multi-step customer issues.,PS-202; FCR above target 2 months,MGR-302,Complex case handling,https://www.togetherplatform.com/blog/coaching-for-managers,Together Platform: Coaching Guide
PS-302,Complaint Resolution Specialist,Problem Solving,Advanced,Full day,Workshop,Become expert at turning complaints into positive outcomes.,PS-301,MGR-302,Complaint handling specialism,https://www.pon.harvard.edu/daily/dealing-with-difficult-people-daily/deal-with-difficult-customers/,Harvard: Conflict Resolution
NS-101,Welcome to Contact Centre,New Starter,Foundation,2 hr,eLearning,Your introduction to working in our contact centre environment.,Manager completes MGR-101,MGR-101,New starter week 1,https://www.acas.org.uk/supporting-mental-health-workplace,ACAS: Supporting Employees
NS-102,Your First 30 Days Success Plan,New Starter,Foundation,1 hr,eLearning,Set yourself up for success in your first month.,NS-101; Manager assigns buddy,MGR-101,New starter week 1,https://www.mentalhealthatwork.org.uk/,Mental Health at Work
NS-103,Nesting Support and Shadowing,New Starter,Foundation,Half-day,Shadowing,Supported practice with experienced colleague guidance.,NS-102,MGR-102,New starter weeks 2-4,https://www.togetherplatform.com/blog/coaching-for-managers,Together Platform: Mentoring
NS-104,Transition to Independence,New Starter,Foundation,1 hr,Coaching Circle,Build confidence as you move to independent call handling.,NS-103,MGR-102,New starter month 2,https://www.futurelearn.com/courses/professional-resilience,FutureLearn: Building Confidence
MGR-101,Onboarding New Team Members,Manager Development,Foundation,1 hr,eLearning,Set new starters up for success from day one.,None,None,New team member joining,https://www.indeed.com/career-advice/career-development/manager-coaching-skills,Indeed: Manager Coaching Skills
MGR-102,Coaching Through the Nesting Period,Manager Development,Foundation,1.5 hr,Workshop,Support colleagues through their transition to independence.,MGR-101,None,Team member in nesting,https://www.performanceconsultants.com/resources/the-grow-model/,Performance Consultants: GROW Model
MGR-201,Supporting Customer Experience Development,Manager Development,Intermediate,1 hr,eLearning,Help your team excel in customer experience delivery.,None,None,Team CX development,https://www.togetherplatform.com/blog/coaching-for-managers,Together Platform: Coaching
MGR-202,Coaching for Efficiency Without Pressure,Manager Development,Intermediate,1.5 hr,Workshop,Help colleagues improve efficiency while maintaining wellbeing.,None,None,Team efficiency support,https://www.calabrio.com/wfo/managing-remote-workforce/managing-mental-health-in-the-contact-center/,Calabrio: Wellbeing in Contact Centre
MGR-203,Recognising and Supporting Struggling Colleagues,Manager Development,Intermediate,2 hr,Workshop,Identify early warning signs and provide effective support.,None,None,Team member struggling,https://www.mind.org.uk/workplace/,Mind: Manager Resources
MGR-204,Creating Psychologically Safe Teams,Manager Development,Intermediate,Half-day,Workshop,Build an environment where colleagues can thrive and speak up.,MGR-203,None,Team culture development,https://www.mentalhealth.org.uk/explore-mental-health/publications/how-support-mental-health-work,Mental Health Foundation: Workplace Guide
MGR-301,Developing Quality Coaches in Your Team,Manager Development,Advanced,2 hr,Workshop,Identify and develop peer coaches for quality improvement.,MGR-201,None,Building team capability,https://www.performanceconsultants.com/resources/the-grow-model/,Performance Consultants: Coaching
MGR-302,Managing Through Performance Issues,Manager Development,Advanced,Half-day,Workshop,Have supportive conversations about underperformance.,MGR-203,None,Performance management,https://www.acas.org.uk/supporting-mental-health-workplace,ACAS: Workplace Support
MGR-303,Career Conversations and Talent Development,Manager Development,Advanced,2 hr,Workshop,Support colleague growth and career aspirations.,MGR-301,None,Talent development,https://www.ccl.org/leadership-solutions/leadership-topics/resilience-training/,CCL: Leadership Development
MGR-304,Building High-Performing Teams,Manager Development,Advanced,Full day,Workshop,Create the conditions for sustained team excellence.,All MGR-200 series,None,Team excellence,https://www.indeed.com/career-advice/career-development/manager-coaching-skills,Indeed: Team Leadership
